,beer_names,style,07-30-2022
38,Battle Axe Belgian Strong,Belgian Strong Dark Ale,3.67
39,Shuriken Saison,Farmhouse Ale - Saison,3.76
40,Rye Saison Bale Book,Farmhouse Ale - Saison,
41,Flail,Pale Ale - Belgian,3.36
42,Sluice DH Blonde - Simcoe,Blonde Ale,
43,Sluice DH Blonde - Opal,Blonde Ale,
44,Sluice DH Blonde - Sorachi,Blonde Ale,
45,Fourche Biere De Mars,Farmhouse Ale - Bière de Mars,3.58
46,Kama Jasmine Stout,Stout - Other,3.8
47,Pipewrench Strong Scotch Ale,Scotch Ale / Wee Heavy,3.97
48,Pollination - Naked,Farmhouse Ale - Saison,
49,Pollination - Rose,Farmhouse Ale - Saison,
50,Pollination - Heather,Farmhouse Ale - Saison,
51,Vice - Aramis,Pilsner - German,3.83
52,Pollination X: Honey,Farmhouse Ale - Saison,3.82
53,Pollination XI: Earl Grey,Farmhouse Ale - Saison,3.89
54,Pollination Saison,Farmhouse Ale - Saison,3.76
55,Tonneau Original,Farmhouse Ale - Saison,
56,Tonneau Wild,Farmhouse Ale - Saison,4.05
57,Tonneau Southyeast Native,Farmhouse Ale - Saison,
58,Gandasa Double IPA,IPA - Imperial / Double,4.04
59,Hayknife Amber Saison,Farmhouse Ale - Saison,3.62
60,Native Carolina Saison,Farmhouse Ale - Saison,3.78
61,Vice Single Hop W/ Rakau,Pale Ale - American,3.78
62,Gastronomy Porter (Pepper Blend),Porter - Other,
63,Gastronomy (Apples & Cinnamon),Porter - American,
64,Cantilever Honey Melon Blonde,Belgian Blonde,3.83
65,Smudge Stick,Farmhouse Ale - Saison,3.86
66,Shepherd's Crook Wallonian Ale,Brown Ale - Belgian,3.58
67,Ripsaw Double White IPA,IPA - Belgian,3.66
68,Corncob Smoked Porter,Smoked Beer,3.61
69,Peach White IPA,Fruit Beer,
70,Grass Whip Spring Wit,Wheat Beer - Witbier / Blanche,3.34
71,Bolo Coconut Brown,Brown Ale - American,3.9
72,Maul Imperial Red,Red Ale - American Amber / Red,3.36
73,Tomahawk,Golden Ale,3.64
74,Ivan Drago,Wild Ale - American,3.46
75,Tommy Gunn,Wild Ale - American,3.62
76,Native II,Farmhouse Ale - Saison,3.67
77,Vice Mandarina Pils,Pilsner - Other,
78,Grater Ginger Saison,Farmhouse Ale - Saison,3.68
79,Trowel Pale Ale,Pale Ale - American,3.69
80,Trowel Pale Ale,Pale Ale - English,
81,The Crucifix Tripel,Belgian Tripel,3.78
82,Francisca,Farmhouse Ale - Saison,3.64
83,Tong And Fork,Red Ale - American Amber / Red,3.48
84,Sheller Peanut Butter Stout,Stout - American,3.89
85,Rye Helles,Lager - Helles,3.62
86,Last Of A Rye'n Breed,Lager - Helles,3.46
87,Vise Simcoe,IPA - American,3.75
88,Ono Golden Saison,Farmhouse Ale - Saison,3.41
89,Corkscrew French Blanc,Wheat Beer - Witbier / Blanche,3.17
90,Sawblade Export Stout,Stout - Foreign / Export,3.87
91,Saw Blade Export Stout,Stout - Foreign / Export,3.84
92,Flat Head,Pale Ale - American,3.16
93,Tack Hammer Session Stout,Stout - Other,3.52
94,Farmhouse Drunken Noodles,Farmhouse Ale - Saison,3.73
95,Èpice Noel,Farmhouse Ale - Saison,3.27
96,Shepherd's Crook Abbey Ale,Other,
97,Green Tea Honey Saison,Farmhouse Ale - Saison,3.79
98,Sawback,Farmhouse Ale - Saison,3.65
99,Haysaw,Farmhouse Ale - Saison,3.76
100,Seyval Belgian Blonde,Belgian Blonde,3.62
101,Francisca Satsuma Blonde,Belgian Blonde,
